SAMP_NUM,SA_GS_3,SA_GS_6,SA_GS_9,SA_GS_12,SA_GS_15,SA_GS_17,SA_GS_19,SA_GS_21,SA_GS_23,SA_GS_26,SA_GS_29,SA_GS_32,SA_DET_54,Test Condition
1541491,7.542,13.734,19.8,5.391,2.646,1.224,3.978,2.7,2.241,17.334,11.106,2.682,20.934,POST
1541492,7.713,13.923,19.989,5.652,2.52,1.116,4.122,2.862,2.394,17.577,11.313,2.871,20.97,POST
1541493,7.758,13.95,19.98,5.913,2.556,1.152,4.032,2.79,2.691,17.55,11.286,2.844,20.979,POST
1541494,7.524,13.734,19.728,5.778,2.718,1.368,3.726,2.502,2.628,17.316,11.142,2.682,20.898,POST
1541495,7.398,13.662,19.836,5.634,2.682,1.242,4.014,2.7,2.394,17.352,11.052,2.556,20.952,POST
1541496,7.461,13.671,19.737,5.661,2.772,1.386,3.834,2.556,2.331,17.271,11.043,2.637,20.88,POST
1542573,7.473,13.802999999999999,19.899,6.087,2.94,1.614,3.6,2.3819999999999997,2.6489999999999996,17.517,11.181,2.553,20.955,POST
1542574,7.563,13.917000000000002,20.031,5.949000000000001,2.6790000000000003,1.359,3.9150000000000005,2.7089999999999996,2.589,17.667,11.235,2.649,20.958,POST
1542575,7.437,13.755,19.833,5.838,2.706,1.344,3.882,2.64,2.5080000000000005,17.439,11.091,2.583,20.961,POST
1542576,7.2989999999999995,13.677,19.803,5.952000000000001,2.61,1.296,3.924,2.706,2.634,17.415,11.043,2.349,20.934,POST
1542577,7.269000000000001,13.586999999999998,19.725,5.9639999999999995,2.778,1.434,3.84,2.6039999999999996,2.622,17.385,11.049,2.439,20.886,POST
1542578,7.353000000000001,13.677,19.839,5.997,2.8200000000000003,1.452,3.81,2.58,2.6430000000000002,17.427,11.073,2.5049999999999994,20.904,POST
1542579,7.275000000000001,13.586999999999998,19.755,6.035999999999999,2.868,1.542,3.75,2.478,2.754,17.355,10.988999999999999,2.5109999999999997,20.913,POST
1542581,7.296,13.636000000000003,19.786,5.953,2.852,1.502,3.7840000000000007,2.536,2.5529999999999995,17.368000000000002,11.028,2.426,20.930000000000003,POST
1542582,7.3210000000000015,13.702999999999998,19.892999999999997,6.162000000000001,2.64,1.2719999999999998,4.036,2.77,2.622,17.485,11.066999999999998,2.419,20.912000000000003,POST
1542583,7.433999999999999,13.822,19.998,5.922000000000001,2.3229999999999995,0.9969999999999999,4.303,3.0310000000000006,2.5599999999999996,17.602,11.163999999999998,2.5199999999999996,20.94,POST
1542584,7.515000000000001,13.835,19.919,5.969,2.7140000000000004,1.2779999999999998,3.9099999999999997,2.6500000000000004,2.4090000000000003,17.505,11.172999999999996,2.569,20.909000000000002,POST
1542923,7.419999999999998,13.743999999999996,19.92,6.0520000000000005,2.765,1.417,3.893,2.6510000000000002,2.632,17.52,11.111999999999998,2.58,20.948999999999998,POST
1542924,7.324,13.628000000000004,19.782,6.143,2.8789999999999996,1.5550000000000002,3.706999999999999,2.481,2.673,17.392,11.032000000000004,2.472,20.932000000000002,POST
1542925,7.381999999999999,13.735999999999999,19.858000000000004,5.967,2.583,1.2489999999999999,4.027,2.803,2.6470000000000002,17.462000000000003,11.083999999999998,2.484,20.917,POST
1542926,7.421,13.744999999999997,19.871,5.94,2.6959999999999997,1.3619999999999997,3.8839999999999995,2.668,2.564,17.493,11.162999999999998,2.555,20.947000000000003,POST
1542949,7.398000000000001,13.722,19.884,5.960999999999999,2.7840000000000003,1.4160000000000001,3.81,2.5560000000000005,2.5229999999999997,17.49,11.124,2.574,20.964,POST
1542950,7.401,13.719,19.929,5.88,2.8770000000000002,1.4969999999999999,3.7889999999999997,2.517,2.454,17.505,11.085,2.5349999999999997,21.033,POST
1542951,7.359000000000001,13.833,20.085,6.687,2.424,1.08,4.242,3.0240000000000005,3.435,17.673000000000002,11.139000000000001,2.349,20.922,POST
1542952,7.392,13.71,19.848,5.9430000000000005,2.772,1.398,3.8220000000000005,2.574,2.5050000000000003,17.46,11.112,2.538,20.934,POST
1542953,7.38,13.638,19.722,5.609999999999999,2.8049999999999997,1.4489999999999998,3.765,2.517,2.238,17.388,11.088000000000001,2.616,20.898,POST
1543100,7.515,13.689,19.755,5.985,2.745,1.431,3.735,2.493,2.637,17.379,11.115,2.727,20.943,POST
1543102,7.38,13.59,19.746,6.003,2.664,1.296,3.978,2.664,2.601,17.316,11.016,2.538,20.934,POST
1543103,7.335,13.617,19.665,6.03,2.889,1.557,3.627,2.349,2.664,17.181,11.025,2.565,20.943,POST
1543104,7.461,13.635,19.719,5.742,2.925,1.575,3.645,2.367,2.484,17.343,11.061,2.727,20.97,POST
1543105,7.398,13.734,19.8,5.814,2.781,1.431,3.843,2.565,2.52,17.388,11.088,2.646,20.934,POST
1543106,7.407,13.743,19.773,5.913,2.826,1.494,3.618,2.376,2.637,17.397,11.133,2.583,20.934,POST
1543107,7.407,13.689,19.809,6.282,2.673,1.341,3.825,2.601,2.844,17.433,11.061,2.655,20.934,POST
1543108,7.353,13.563,19.665,5.94,2.907,1.575,3.681,2.403,2.502,17.181,11.025,2.601,20.988,POST
1543109,7.38,13.644,19.692,5.751,2.88,1.566,3.582,2.34,2.331,17.334,11.124,2.556,20.943,POST
1543110,7.389,13.725,19.845,5.949,2.988,1.674,3.546,2.286,2.619,17.379,11.097,2.619,20.961,POST
1543111,7.47,13.698,19.818,5.643,2.574,1.224,3.96,2.718,2.241,17.532,11.16,2.754,20.934,POST
1543112,7.443,13.671,19.683,6.012,2.826,1.458,3.672,2.394,2.592,17.199,11.061,2.655,21.006,POST
1543113,7.452,13.788,19.89,5.976,2.979,1.665,3.573,2.367,2.646,17.514,11.142,2.664,20.943,POST
1543114,7.425,13.707,19.827,5.868,2.817,1.467,3.735,2.493,2.61,17.379,11.025,2.619,20.952,POST
1543115,7.218,13.482,19.584,5.841,2.916,1.584,3.618,2.358,2.583,17.136,10.89,2.43,20.943,POST
1543116,7.461,13.671,19.701,6.057,2.799,1.503,3.627,2.457,2.817,17.325,11.079,2.619,20.943,POST
1543117,7.497,13.779,19.809,5.985,2.79,1.458,3.708,2.466,2.601,17.469,11.133,2.691,20.952,POST
1543118,7.362,13.626,19.728,5.922,2.835,1.467,3.645,2.403,2.682,17.334,11.07,2.646,20.97,POST
1543119,7.443,13.707,19.809,5.913,2.799,1.431,3.681,2.421,2.673,17.433,11.205,2.619,20.943,POST
1543120,7.407,13.671,19.827,5.616,2.808,1.494,3.708,2.448,2.304,17.469,11.205,2.601,20.961,POST
1543121,7.425,13.689,19.791,5.85,2.763,1.431,3.771,2.493,2.448,17.361,11.043,2.601,20.952,POST
